//Erdgeschoss ABC
55/60/0-49/61/0-	0.01-0.02
55/60/0-54/56/0-	0.01-0.04
49/61/0-48/58/0-	0.02-0.03
48/58/0-54/56/0-	0.03-0.04
48/58/0-43/60/0-	0.03-0.05
54/56/0-59/55/0-	0.04-0.06
59/55/0-63/55/0-	0.06-0.07
63/55/0-67/66/0-	0.07-0.08
45/31/0-42/31/0-	0.10-0.11
42/31/0-37/32/0-	0.11-0.12
37/32/0-32/33/0-	0.12-0.13
32/33/0-29/32/0-	0.13-0.14
29/32/0-28/36/0-	0.14-0.16
29/32/0-25/32/0-	0.14-0.16
46/20/0-50/18/0-	0.17-0.18
50/18/0-53/16/0-	0.18-0.19
53/16/0-57/15/0-	0.19-0.20
57/15/0-59/17/0-	0.20-0.21
57/15/0-60/13/0-	0.20-0.22
//-----------------------------------
//1. OG ABC
55/62/1-49/61/1-	1.01-1.02
55/62/1-55/57/1-	1.01-1.04
49/61/1-48/58/1-	1.02-1.03
48/58/1-55/57/1-	1.03.1.04
55/57/1-58/56/1-	1.04-1.09
58/56/1-62/56/1-	1.09-1.10
62/56/1-66/56/1-	1.10-1.11
66/56/1-70/55/1-	1.11-1.12
48/58/1-45/59/1-	1.03-1.05
45/59/1-41/60/1-	1.05-1.06
41/60/1-37/61/1-	1.06-1.07
37/61/1-33/62/1-	1.07-1.08
51/55/1-48/58/1-	1.13-1.03
51/55/1-55/57/1-	1.13-1.04
51/55/1-50/50/1-	1.13-1.14
50/50/1-49/45/1-	1.14-1.15
49/45/1-48/40/1-	1.15-1.16
48/40/1-47/34/1-	1.16-1.17
47/34/1-46/28/1-	1.17-1.18
46/28/1-45/21/1-	1.18-1.19
45/21/1-47/20/1-	1.19-1.20
47/20/1-53/17/1-	1.20-1.21
53/17/1-57/15/1-	1.21-1.22
57/15/1-59/17/1-	1.22-1.23
45/21/1-41/21/1-	1.19-1.35
41/21/1-37/22/1-	1.35-1.34
37/22/1-34/21/1-	1.34-1.32
37/22/1-31/23/1-	1.34-1.31
34/21/1-31/23/1-	1.32-1.31
31/23/1-29/26/1-	1.31-1.30
29/26/1-28/30/1-	1.30-1.29
28/30/1-27/33/1-	1.29-1.28
28/30/1-31/33/1-	1.29-1.27
27/33/1-31/33/1-	1.28-1.27
31/33/1-35/32/1-	1.27-1.26
35/32/1-39/32/1-	1.26-1.25
39/32/1-43/31/1-	1.25-1.24
43/31/1-46/28/1-	1.24-1.18
//--------------------------------------------
//2. Obergeschoss
//--------------------------------------------
55/60/2-49/61/2-	2.01-2.02
55/60/2-54/57/2-	2.01-2.04
54/57/2-48/58/2-	2.04-2.03
48/58/2-49/61/2-	2.03-2.02
48/58/2-45/59/2-	2.03-2.05
45/59/2-41/60/2-	2.05-2.06
41/60/2-36/62/2-	2.06-2.07
36/62/2-32/63/2-	2.07-2.08
54/57/2-59/57/2-	2.04-2.09
59/57/2-64/57/2-	2.09-2.10
64/57/2-69/57/2-	2.10-1.11
69/57/2-74/56/2-	2.11-2.12
74/56/2-79/56/2-	2.12-2.13
79/56/2-84/56/2-	2.13-2.14
53/16/2-50/19/2-	2.15-2.16
53/16/2-59/14/2-	2.15-2.17
59/14/2-59/17/2-	2.17-2.18
59/17/2-60/18/2-	2.18-2.19
//---------------------------------------------
//Stockwerkübergreifend		Enthält extra Nodes
//--------------------------------------------
45/31/0-45/33/0-	0.10-Treppe
45/33/0-43/31/1-	Treppe-1.24
53/16/0-57/15/1-	0.19-1.22
55/60/0-49/61/1-	0.01-1.02
